Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0
SR Tendulkar (INDIA),1989-2013,200,329,33,15921,248*,53.78,51,68,14
RT Ponting (AUS),1995-2012,168,287,29,13378,257,51.85,41,62,17
JH Kallis (ICC/SA),1995-2013,166,280,40,13289,224,55.37,45,58,16
R Dravid (ICC/INDIA),1996-2012,164,286,32,13288,270,52.31,36,63,8
AN Cook (ENG),2006-2018,161,291,16,12472,294,45.35,33,57,9
KC Sangakkara (SL),2000-2015,134,233,17,12400,319,57.4,38,52,11
BC Lara (ICC/WI),1990-2006,131,232,6,11953,400*,52.88,34,48,17
S Chanderpaul (WI),1994-2015,164,280,49,11867,203*,51.37,30,66,15
DPMD Jayawardene (SL),1997-2014,149,252,15,11814,374,49.84,34,50,15
AR Border (AUS),1978-1994,156,265,44,11174,205,50.56,27,63,11
SR Waugh (AUS),1985-2004,168,260,46,10927,200,51.06,32,50,22
SM Gavaskar (INDIA),1971-1987,125,214,16,10122,236*,51.12,34,45,12
Younis Khan (PAK),2000-2017,118,213,19,10099,313,52.05,34,33,19
HM Amla (SA),2004-2019,124,215,16,9282,311*,46.64,28,41,13
GC Smith (ICC/SA),2002-2014,117,205,13,9265,277,48.25,27,38,11
GA Gooch (ENG),1975-1995,118,215,6,8900,333,42.58,20,46,13
Javed Miandad (PAK),1976-1993,124,189,21,8832,280*,52.57,23,43,6
Inzamam-ul-Haq (ICC/PAK),1992-2007,120,200,22,8830,329,49.6,25,46,15
VVS Laxman (INDIA),1996-2012,134,225,34,8781,281,45.97,17,56,14
AB de Villiers (SA),2004-2018,114,191,18,8765,278*,50.66,22,46,8
JE Root (ENG),2012-2021,105,193,14,8714,254,48.68,20,49,8
MJ Clarke (AUS),2004-2015,115,198,22,8643,329*,49.1,28,27,9
ML Hayden (AUS),1994-2009,103,184,14,8625,380,50.73,30,29,14
V Sehwag (ICC/INDIA),2001-2013,104,180,6,8586,319,49.34,23,32,16
IVA Richards (WI),1974-1991,121,182,12,8540,291,50.23,24,45,10
AJ Stewart (ENG),1990-2003,133,235,21,8463,190,39.54,15,45,14
DI Gower (ENG),1978-1992,117,204,18,8231,215,44.25,18,39,7
KP Pietersen (ENG),2005-2014,104,181,8,8181,227,47.28,23,35,10
G Boycott (ENG),1964-1982,108,193,23,8114,246*,47.72,22,42,10
GS Sobers (WI),1954-1974,93,160,21,8032,365*,57.78,26,30,12
ME Waugh (AUS),1991-2002,128,209,17,8029,153*,41.81,20,47,19
MA Atherton (ENG),1989-2001,115,212,7,7728,185*,37.69,16,46,20
IR Bell (ENG),2004-2015,118,205,24,7727,235,42.69,22,46,14
JL Langer (AUS),1993-2007,105,182,12,7696,250,45.27,23,30,11
MC Cowdrey (ENG),1954-1975,114,188,15,7624,182,44.06,22,38,9
LRPL Taylor (NZ),2007-2021,108,189,24,7564,290,45.84,19,35,14
CG Greenidge (WI),1974-1991,108,185,16,7558,226,44.72,19,34,11
V Kohli (INDIA),2011-2021,92,155,10,7547,254*,52.04,27,25,12
SPD Smith (AUS),2010-2021,77,139,17,7540,239,61.8,27,31,5
Mohammad Yousuf (PAK),1998-2010,90,156,12,7530,223,52.29,24,33,11
MA Taylor (AUS),1989-1999,104,186,13,7525,334*,43.49,19,40,5
CH Lloyd (WI),1966-1985,110,175,14,7515,242*,46.67,19,39,4
DL Haynes (WI),1978-1994,116,202,25,7487,184,42.29,18,39,10
DC Boon (AUS),1984-1996,107,190,20,7422,200,43.65,21,32,16
DA Warner (AUS),2011-2021,86,159,7,7311,335*,48.09,24,30,9
G Kirsten (SA),1993-2004,101,176,15,7289,275,45.27,21,34,13
WR Hammond (ENG),1927-1947,85,140,16,7249,336*,58.45,22,24,4
KS Williamson (NZ),2010-2021,85,148,14,7230,251,53.95,24,33,9
CH Gayle (WI),2000-2014,103,182,11,7214,333,42.18,15,37,15
SC Ganguly (INDIA),1996-2008,113,188,17,7212,239,42.17,16,35,13
SP Fleming (NZ),1994-2008,111,189,10,7172,274*,40.06,9,46,16
GS Chappell (AUS),1970-1984,87,151,19,7110,247*,53.86,24,31,12
AJ Strauss (ENG),2004-2012,100,178,6,7037,177,40.91,21,27,15
DG Bradman (AUS),1928-1948,52,80,10,6996,334,99.94,29,13,7
ST Jayasuriya (SL),1991-2007,110,188,14,6973,340,40.07,14,31,15
L Hutton (ENG),1937-1955,79,138,15,6971,364,56.67,19,33,5
